product_id,title,shopify_cdn_url,category,color
prod_14976,Zorelle|Trucotton Midi Length Milkmaid Dress,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0369_2_512x.jpg?v=1738911926,unknown,unknown
prod_14977,Abril|Trucotton Embroidery Detail Midi Dress,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB4_111ad1b5-c2e7-4b36-ac41-1ce468423186_512x.jpg?v=1739277317,unknown,unknown
prod_14978,Jayden|Blue Straight Flared Denims,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB8_fcda8e23-c2a4-4c5d-8c31-1faf75d8d5a0_1600x.jpg?v=1739270355,unknown,unknown
prod_14980,Renata|Blue Strappy Midi Dress,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB2_f7472dc7-88a4-447c-afa9-1c38fc2a7eda_1600x.jpg?v=1739271372,unknown,unknown
prod_14981,Elyanna|Off-Shoulder Sweatshirt,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/web3_4c3551ed-70e4-4961-85e4-38b010323ffd_512x.jpg?v=1739269261,unknown,unknown
prod_14982,Ayla Shorts|Pink Pull-On Shorts,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/1_VWWSO2447404002_6e37c57f-35ef-4492-9e76-5c68d25af648_512x.jpg?v=1745851428,unknown,unknown
prod_14983,Pola Shorts|Blue Pull-On Shorts,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/DSCF1654_1600x.jpg?v=1738770643,unknown,unknown
prod_14984,Ayla Hoodie|Cropped Boxy Pink Hoodie,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/1_VWWSS2447404002_f048c4db-f9e2-419d-ad99-020cb5a92a10_512x.jpg?v=1745851427,unknown,unknown
prod_14985,Palmira Shirt|Rescued Polyester Abstract Print Shirt,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0064_3_3d36854f-b9ee-4665-aae0-6cc8805b77a2_512x.jpg?v=1748851200,unknown,unknown
prod_14987,Paz Top|Rescued Polyester Abstract Print Top,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0004_6_512x.jpg?v=1737629516,unknown,unknown
prod_14988,Valentina|Trucotton Midi Length Milkmaid Dress,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0363_2_512x.jpg?v=1737628748,unknown,unknown
prod_14989,Louisa Top|Rescued Polyester Vneck Floral Print Top,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/4th_DEC_2024_Virgio-0112_2_512x.jpg?v=1737629152,unknown,unknown
prod_14990,Capri|Peplum Denim Cami Top,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB12_1600x.jpg?v=1738833980,unknown,unknown
prod_14991,Archer|Blue Regular Flared Denims,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/WEB4_f698307f-c388-4171-ae01-68e9d2346c6f_1600x.jpg?v=1738833563,unknown,unknown
prod_14992,Pola|Cropped Hoodie & Shorts Co-ord,https://cdn.shopify.com/s/files/1/0785/1674/8585/files/DSCF1656_1600x.jpg?v=1738831875,unknown,unknown
